gameTimeSecQ1,numLevelsPlayedCounterQ2,numPlanetsLaunchedCounterQ3,numSecHintsToggledQ4
58,0,11,0
63,0,13,0
44,0,7,0
122,0,24,0
197,0,43,0
28,0,4,0
26,0,8,0
92,0,7,21
83,0,11,5
28,0,3,0
27,0,1,0
65,0,3,4
26,0,7,0
17,0,10,0
18,0,2,0
77,0,13,0
18,0,2,0
18,0,2,0
18,0,2,0
18,0,1,0
-,-,-,-
58,0,6,0
37,0,3,0
196,0,16,0
303,0,90,1
71,0,10,0
75,0,4,0
80,0,9,0
32,0,3,0
197,0,22,0
32,0,2,0
38,0,5,0
80,0,34,0
36,0,2,0
19,0,2,0
63,0,18,0
27,0,3,0
64,0,15,0
160,0,18,0
194,0,82,0
38,0,18,0
44,0,41,0
64,0,3,0
-,-,-,-
108,0,22,0
163,0,20,19
109,0,19,1
73,0,10,0
34,0,3,0
23,0,2,0
34,0,3,0
71,0,12,0
13,0,3,0
-,-,-,-
20,0,3,0
35,0,1,0
8,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
1,0,0,0
81,0,3,37
13,0,3,0
-,-,-,-
